Date,GBP_EUR,GBP_USD,GBP_HKD,GBP_JPY
2015-01-01,1.2875,1.5586,12.0859,186.63
2015-01-02,1.2772,1.5328,11.889,184.698
2015-01-05,1.2779,1.525,11.8271,182.437
2015-01-06,1.2743,1.5151,11.7488,179.374
2015-01-07,1.2763,1.511,11.7181,180.201
2015-01-08,1.2796,1.509,11.7012,180.558
2015-01-09,1.2806,1.516,11.7543,179.647
2015-01-12,1.282,1.5171,11.7621,179.556
2015-01-13,1.2877,1.516,11.7528,178.79
2015-01-14,1.2921,1.5234,11.8117,178.734
2015-01-15,1.3053,1.5183,11.7712,176.371
2015-01-16,1.3094,1.515,11.7372,178.116
2015-01-19,1.302,1.5113,11.7154,177.668
2015-01-20,1.3113,1.5145,11.7414,179.944
2015-01-21,1.3043,1.5142,11.7368,178.626
2015-01-22,1.3207,1.501,11.6376,177.861
2015-01-23,1.3379,1.4989,11.6216,176.536
2015-01-26,1.3418,1.5078,11.6888,178.61
2015-01-27,1.3353,1.5197,11.7808,179.124
2015-01-28,1.3414,1.5139,11.7362,177.924
2015-01-29,1.3311,1.5067,11.6799,178.228
2015-01-30,1.3341,1.506,11.6677,176.999
2015-02-02,1.326,1.5039,11.6592,176.831
2015-02-03,1.3212,1.5166,11.7601,178.309
2015-02-04,1.3382,1.5182,11.7698,178.031
2015-02-05,1.3355,1.5328,11.8832,180.144
2015-02-06,1.3473,1.5243,11.8179,181.544
2015-02-09,1.3436,1.5215,11.7976,180.513
2015-02-10,1.3474,1.5254,11.827,182.18
2015-02-11,1.3442,1.5238,11.8166,183.551
2015-02-12,1.349,1.5384,11.9285,183.24
2015-02-13,1.3519,1.5395,11.9391,182.819
2015-02-16,1.3532,1.5363,11.921,182.021
2015-02-17,1.3455,1.5354,11.9133,183.091
2015-02-18,1.3544,1.5436,11.9755,183.352
2015-02-19,1.3559,1.5414,11.959,183.35
2015-02-20,1.3532,1.5399,11.9462,183.303
2015-02-23,1.3637,1.5457,11.9897,183.645
2015-02-24,1.3627,1.5454,11.9862,183.854
2015-02-25,1.3668,1.5528,12.0455,184.566
2015-02-26,1.3758,1.5407,11.9469,183.974
2015-02-27,1.3783,1.5438,11.9706,184.681
2015-03-02,1.3739,1.5366,11.9166,184.596
2015-03-03,1.3743,1.5361,11.9129,183.921
2015-03-04,1.3779,1.5265,11.8391,182.689
2015-03-05,1.3817,1.524,11.8192,183.087
2015-03-06,1.3868,1.5037,11.664,181.691
2015-03-09,1.394,1.5128,11.7392,183.28
2015-03-10,1.4087,1.507,11.6964,182.545
2015-03-11,1.4154,1.493,11.6014,181.329
2015-03-12,1.3995,1.4883,11.5632,180.513
2015-03-13,1.4045,1.4744,11.4488,178.992
2015-03-16,1.4032,1.4829,11.5139,179.923
2015-03-17,1.3918,1.4749,11.4487,178.999
2015-03-18,1.3787,1.4978,11.6224,179.914
2015-03-19,1.384,1.4753,11.4478,178.188
2015-03-20,1.3813,1.4949,11.5991,179.444
2015-03-23,1.3662,1.4952,11.5983,179.023
2015-03-24,1.3594,1.4851,11.5184,177.847
2015-03-25,1.3564,1.488,11.5396,177.802
2015-03-26,1.3643,1.4849,11.5148,176.98
2015-03-27,1.3661,1.4879,11.5325,177.368
2015-03-30,1.367,1.481,11.4854,177.832
2015-03-31,1.3807,1.4818,11.4878,177.998
2015-04-01,1.3773,1.4823,11.4922,177.519
2015-04-02,1.3629,1.4829,11.496,177.526
2015-04-03,1.3596,1.492,11.5662,177.499
2015-04-06,1.3624,1.488,11.5367,177.864
2015-04-07,1.3692,1.4808,11.4789,178.113
2015-04-08,1.379,1.4866,11.5219,178.593
2015-04-09,1.3802,1.4713,11.4024,177.406
2015-04-10,1.3801,1.4632,11.3395,175.905
2015-04-13,1.3888,1.4676,11.3734,176.29
2015-04-14,1.3874,1.4782,11.46,176.473
2015-04-15,1.3892,1.4842,11.5048,176.824
2015-04-16,1.3878,1.4934,11.5772,177.74
2015-04-17,1.3848,1.4962,11.5994,177.864
2015-04-20,1.3882,1.4907,11.5525,177.647
2015-04-21,1.3903,1.4926,11.5684,178.615
2015-04-22,1.4021,1.5037,11.6539,180.307
2015-04-23,1.3911,1.5057,11.6693,180.06
2015-04-24,1.3968,1.5188,11.7711,180.736
2015-04-27,1.399,1.5238,11.8094,181.385
2015-04-28,1.3969,1.5339,11.8884,182.32
2015-04-29,1.3873,1.5438,11.965,183.735
2015-04-30,1.3678,1.5351,11.8978,183.257
2015-05-01,1.3521,1.5148,11.7354,181.995
2015-05-04,1.3565,1.512,11.7225,181.635
2015-05-05,1.3573,1.5182,11.7684,181.958
2015-05-06,1.3438,1.5246,11.818,182.129
2015-05-07,1.3533,1.5245,11.8293,182.516
2015-05-08,1.3776,1.5455,11.9781,185.088
2015-05-11,1.3972,1.5586,12.0827,187.155
2015-05-12,1.3975,1.5671,12.1477,187.846
2015-05-13,1.3867,1.5745,12.2044,187.595
2015-05-14,1.3827,1.5776,12.2273,188.004
2015-05-15,1.3737,1.5727,12.1896,187.563
2015-05-18,1.3834,1.5653,12.1323,187.806
2015-05-19,1.3909,1.5513,12.0236,187.238
2015-05-20,1.4004,1.5536,12.0442,188.516
2015-05-21,1.4094,1.5662,12.1427,189.565
2015-05-22,1.4061,1.549,12.0075,188.261
2015-05-25,1.4093,1.547,11.9924,188.053
2015-05-26,1.4151,1.5385,11.9264,189.383
2015-05-27,1.4081,1.5354,11.9119,189.868
